url,name,address,price,price_currency,bedrooms,bathrooms,floor_size,land_size,sale_method,listing_date,renovation_score,flags,description
https://www.realestate.co.nz/42986655/residential/sale/1005-oliphant-road-raureka,Open Home - 11:30AM - 12:00PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 1005 Oliphant Road, Raureka"
https://www.realestate.co.nz/42986655/residential/sale/1005-oliphant-road-raureka,Open Home - 11:30AM - 12:00PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 1005 Oliphant Road, Raureka"
https://www.realestate.co.nz/42986655/residential/sale/1005-oliphant-road-raureka,Open Home - 11:30AM - 12:00PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 1005 Oliphant Road, Raureka"
https://www.realestate.co.nz/42986655/residential/sale/1005-oliphant-road-raureka,Open Home - 11:30AM - 12:00PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 1005 Oliphant Road, Raureka"
https://www.realestate.co.nz/42986655/residential/sale/1005-oliphant-road-raureka,Open Home - 11:30AM - 12:00PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 1005 Oliphant Road, Raureka"
https://www.realestate.co.nz/42986655/residential/sale/1005-oliphant-road-raureka,Open Home - 11:30AM - 12:00PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 1005 Oliphant Road, Raureka"
https://www.realestate.co.nz/42981597/residential/sale/607-market-street-south-hastings,Open Home - 1:15PM - 1:45PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 607 Market Street South, Hastings"
https://www.realestate.co.nz/42981597/residential/sale/607-market-street-south-hastings,Open Home - 1:15PM - 1:45PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 607 Market Street South, Hastings"
https://www.realestate.co.nz/42981270/residential/sale/102-newcastle-street-mahia,Open Home - 11:45AM - 12:15PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 102 Newcastle Street, Mahia"
https://www.realestate.co.nz/42981270/residential/sale/102-newcastle-street-mahia,Open Home - 11:45AM - 12:15PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 102 Newcastle Street, Mahia"
https://www.realestate.co.nz/42981270/residential/sale/102-newcastle-street-mahia,Open Home - 11:45AM - 12:15PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 102 Newcastle Street, Mahia"
https://www.realestate.co.nz/42981062/residential/sale/153a-middle-road-havelock-north,Open Home - 11:00AM - 11:30AM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 153A Middle Road, Havelock North"
https://www.realestate.co.nz/42981062/residential/sale/153a-middle-road-havelock-north,Open Home - 11:00AM - 11:30AM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 153A Middle Road, Havelock North"
https://www.realestate.co.nz/42981062/residential/sale/153a-middle-road-havelock-north,Open Home - 11:00AM - 11:30AM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 153A Middle Road, Havelock North"
https://www.realestate.co.nz/42982096/residential/sale/8-hikanui-drive-havelock-north,Open Home - 2:00PM - 2:30PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 8 Hikanui Drive, Havelock North"
https://www.realestate.co.nz/42982096/residential/sale/8-hikanui-drive-havelock-north,Open Home - 2:00PM - 2:30PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 8 Hikanui Drive, Havelock North"
https://www.realestate.co.nz/42980684/residential/sale/17-addington-place-taradale,Open Home - 1:00PM - 1:30PM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 17 Addington Place, Taradale"
https://www.realestate.co.nz/42980684/residential/sale/17-addington-place-taradale,Open Home - 11:00AM - 11:30AM,,,,,,,,,2026-02-19,1,No price listed,"Open home: 17 Addington Place, Taradale"
