url,address,price,sale_method,bedrooms,bathrooms,land_area,property_type,agent,listing_date,renovation_score,flags,description
https://www.realestate.co.nz/42986377/residential/sale/19-black-road-ashley-clinton,"19 Black Road, Ashley Clinton",Deadline Sale,,,1,1.62ha,,,"Listed
    2 days ago",2,Negotiation: deadline sale,"19 Black Road, Ashley ClintonLifestyle with InfrastructureDeadline Sale"
https://www.realestate.co.nz/42982845/residential/sale/14-chaucer-road-south-hospital-hill,"14 Chaucer Road South, Hospital Hill",Deadline Sale,,,,531m2,Section,,"Listed
    a week ago",2,Negotiation: deadline sale,"14 Chaucer Road South, Hospital HillRare Napier Hill Section - Ready to BuildDeadline Sale"
https://www.realestate.co.nz/42984808/residential/sale/3-surrey-street-taradale,"3 Surrey Street, Taradale",Deadline Sale,,3,1,837m2,Section,,"Listed
    3 days ago",2,Negotiation: deadline sale,"3 Surrey Street, TaradaleLarge Family Section, Unbeatable Taradale WestDeadline Sale"
https://www.realestate.co.nz/42982094/residential/sale/7-sanderson-place-havelock-north,"7 Sanderson Place, Havelock North",Deadline Sale,,3,2,8000m2,,,"Listed
    a week ago",2,Negotiation: deadline sale,"7 Sanderson Place, Havelock NorthA Private Retreat with Space to BreatheDeadline Sale"
https://www.realestate.co.nz/42980342/residential/sale/9-burbury-ridge-havelock-north,"9 Burbury Ridge, Havelock North",Negotiation,,,,913m2,,,"Listed
    a week ago",2,Negotiation: negotiation,"9 Burbury Ridge, Havelock NorthRare Like Hens TeethNegotiation"
https://www.realestate.co.nz/42980361/residential/sale/134-cohrs-road-poukawa,"134 Cohrs Road, Poukawa",Tender,,5,2,6.16ha,,,"Listed
    a week ago",2,Negotiation: tender,"134 Cohrs Road, PoukawaHere is your dream rural escapeTender"
https://www.realestate.co.nz/42982896/residential/sale/16-shearer-place-pirimai,"16 Shearer Place, Pirimai",Deadline Sale,,2,1,,Unit/Apartment,,"Listed
    a week ago",2,Negotiation: deadline sale,"16 Shearer Place, PirimaiOwn This Tidy Unit TODAY!Deadline Sale"
https://www.realestate.co.nz/42976282/residential/sale/435a-gloucester-street-taradale,"435a Gloucester Street, Taradale",Negotiation,,3,1,1246m2,,,"Listed
    2 weeks ago",2,Negotiation: negotiation,"435a Gloucester Street, TaradalePrivate, Elevated Living In TaradaleNegotiation"
https://www.realestate.co.nz/42975300/residential/sale/58-palmerston-road-havelock-north,"58 Palmerston Road, Havelock North",Deadline Sale,,3,2,755m2,,,"Listed
    2 weeks ago",2,Negotiation: deadline sale,"58 Palmerston Road, Havelock NorthAward-Winning Retreat in Havelock NorthDeadline Sale"
https://www.realestate.co.nz/42974396/residential/sale/406b-lascelles-street-saint-leonards,"406B Lascelles Street, Saint Leonards","$650,000",Offers Over,3,1,427m2,,,"Listed
    2 weeks ago",2,Negotiation: offers over,"406B Lascelles Street, Saint LeonardsSmart start or solid investmentOffers Over $650,000"
https://www.realestate.co.nz/42974615/residential/sale/42-mclean-road-havelock-north,"42 Mclean Road, Havelock North",Tender,,4,5,3ha,,,"Listed
    2 weeks ago",2,Negotiation: tender,"42 Mclean Road, Havelock NorthPrivacy , Considered Design and Open HorizonsTender"
https://www.realestate.co.nz/42980180/residential/sale/21-endsleigh-drive-havelock-north,"21 Endsleigh Drive, Havelock North",Tender,,4,3,1.14ha,,,"Listed
    a week ago",2,Negotiation: tender,"21 Endsleigh Drive, Havelock NorthA rare offering of prestige and privacyTender"
https://www.realestate.co.nz/42974080/residential/sale/503-king-street-south-hastings,"503 King Street South, Hastings",Tender,,4,2,1004m2,,,"Listed
    2 weeks ago",2,Negotiation: tender,"503 King Street South, HastingsAn entertainer’s dream in a grand family settingTender"
https://www.realestate.co.nz/42974341/residential/sale/87-arataki-road-havelock-north,"87 Arataki Road, Havelock North",Negotiation,,4,3,943m2,,,"Listed
    2 weeks ago",2,Negotiation: negotiation,"87 Arataki Road, Havelock NorthPlenty of Scope to Be HadNegotiation"
https://www.realestate.co.nz/42973135/residential/sale/22b-gallipoli-road-onekawa,"22B Gallipoli Road, Onekawa",Deadline Sale,,3,1,379m2,,,"Listed
    2 weeks ago",2,Negotiation: deadline sale,"22B Gallipoli Road, OnekawaMove-in ready, low-maintenance living!Deadline Sale"
https://www.realestate.co.nz/42974961/residential/sale/2a-cobden-road-bluff-hill,"2A Cobden Road, Bluff Hill",Deadline Sale,,4,3,814m2,,,"Listed
    2 weeks ago",2,Negotiation: deadline sale,"2A Cobden Road, Bluff HillModern Bluff Hill Home with Expansive ViewDeadline Sale"
https://www.realestate.co.nz/42974586/residential/sale/4a-mission-road-greenmeadows,"4A Mission Road, Greenmeadows","$960,000",,3,2,511m2,,,"Listed
    2 weeks ago",0,,"4A Mission Road, GreenmeadowsVendors Have Their Next MovePricing updated
      2 weeks ago$960,000"
https://www.realestate.co.nz/42974790/residential/sale/9-arihi-crescent-frimley,"9 Arihi Crescent, Frimley","$1,010,000",,3,2,508m2,,,"Listed
    2 weeks ago",0,,"9 Arihi Crescent, FrimleyThoughtfully Designed New Build in Frimley$1,010,000"
